sentiment,text,Length
Negative,I just find it so weird that they would use the wrong image and name for Shake Milton 🤔,87
Negative,Since pubg is now banned . The government should also ban microsoft teams and zoom also,87
Positive,You can do this on teams?!?!? My meeting tomorrow is about to be a lot more interesting,87
Positive,I've never been more proud (or grateful) to be part of the extended Microsoft family.  ,87
Neutral,Lol. Nice. I am going to use this to compare and see what shade of foundation to pick. ,87
Irrelevant,Respectfully I would’ve snuff’d him. I commend you for having more self control than me,87
Negative,It's kinda like if Shigeru Miyamoto created Hearthstone but gave it a scary soundtrack.,87
Irrelevant,Extremely grateful to the GTA community for hitting this milestone... Here's to more!  ,87
Irrelevant,When the guys that’s been driving round and keeling you the entire game finally crashes,87
Irrelevant,Coincidence that the gun crimes occur in GTA after surge of N. African immigrants?  🤔. ,87
Negative,So cyberpunk 2077 has yet been delayed again to November am really not happy about this,87
Positive,Sooo i guess i just came out on Facebook???????? Like i actually did that. . Feels good,87
Irrelevant,I joined a Facebook group for indoor gardening and these gardeners are soo precious . 🤍,87
Negative,"World of Bullets LP - World of Warcraft crossed with DOTA 2, but much more frustrating.",87
Positive,Playing Borderlands 3 on PC again reminds me just how damn fun the game is. I miss it .,87
Irrelevant,°_° *Gets bad flashback in movie theater*. . :) *Realize the Witcher was actually good*,87
Irrelevant,Pretty sure that Tetris Effect is already the best launch title for the Xbox Series X.,86
Positive,"I miss truly miss Highmountain, it feels like Grizzly Hills and Mulgore had a baby..  ",86
Neutral,"Siege pizzeria shirt is a go, of course ela would be the delivery girl i love her :P  ",86
Neutral,Born from the ruin of the old world fighting for the wages of an endless Ghost War... ,86
